,Price,margin_long,margin_short,pnl_long,pnl_short,state_long,state_short,risk_long,risk_short,Balance
0.0,171.421,342.842,342.842,0.0,0.0,0.0,0.0,1.0,1.0,10000.0
171.421,166.49438315436163,332.99,352.7,-9.853233691276728,9.853233691276728,,,,,9647.305999999999
171.667,171.667,343.34,342.35,10.345233691276746,-10.345233691276746,,,1.0014525641549168,0.998564936618034,10000.498
171.3,171.3,342.61,343.08,-0.7339999999999804,0.7339999999999804,,,0.9993233034459023,1.0006941973270487,9999.768
171.095,171.095,342.2,343.49,-0.410000000000025,0.410000000000025,,,0.9981274172942638,1.001890083478687,9999.358
170.343,170.5758325,341.16,344.53,-1.0383350000000178,1.0383350000000178,,,0.995093949982791,1.00492355079016,9998.318
170.796,170.796,341.6,344.09,0.4403350000000046,-0.4403350000000046,,,0.9963773399991834,1.0036401607737675,9998.758
170.633,170.633,341.27,344.42,-0.325999999999965,0.325999999999965,,,0.995414797486889,1.0046027032860618,9998.428
170.144,170.24349999999998,340.49,345.2,-0.7790000000000532,0.7790000000000532,,,0.9931396970032844,1.0068778037696664,9997.648
170.138,170.1887625,340.38,345.31,-0.1094749999999749,0.1094749999999749,,,0.9931105290483664,1.0069069717245844,9997.537999999999
169.188,169.71376249999997,339.43,346.26,-0.9500000000000455,0.9500000000000455,,,0.9900478937819754,1.0099696069909754,9996.588
169.891,170.01749999999998,340.04,345.65,0.6074750000000222,-0.6074750000000222,,,0.992089650626236,1.0079278501467148,9997.198
170.63,170.63,341.27,344.42,1.2250000000000227,-1.2250000000000227,,,0.995414797486889,1.0046027032860618,9998.428
171.107,170.92372749999998,341.86,343.83,0.5874549999999772,-0.5874549999999772,,,0.9971357068270517,1.0028817939458994,9999.018
171.292,171.01622749999999,342.04,343.64,0.18500000000000227,-0.18500000000000227,,,0.9976607300155758,1.002327602802457,9999.198
171.851,170.9902175,341.99,343.69,-0.05201999999997042,0.05201999999997042,,,0.9976607300155758,1.002327602802457,9999.148
169.044,170.01361,340.04,345.64,-1.9532150000000001,1.9532150000000001,,,0.9926730097245962,1.0073153230934366,9997.198
169.31,169.724,339.46,346.22,-0.5792200000000207,0.5792200000000207,,,0.9893478628639432,1.0106404699540896,9996.617999999999
168.964,169.62601,339.26,346.42,-0.19597999999996318,0.19597999999996318,,,,,9996.418
167.31,168.6005,337.21,348.47,-2.051019999999994,2.051019999999994,,,0.9908645965196796,1.0091237362983534,9994.367999999999
167.74,168.8155,337.64,348.04,0.42999999999995,-0.42999999999995,,,0.9835726077901774,1.0164157250278556,9994.797999999999
168.357,169.0684175,338.15,347.53,0.5058350000000473,-0.5058350000000473,,,0.9845059823475536,1.015482350470479,9995.307999999999
168.618,169.48931,338.99,346.69,0.8417849999999589,-0.8417849999999589,,,,,9996.148
167.091,168.433925,336.88,348.8,-2.1107700000000023,2.1107700000000023,,,0.9895228705934512,1.0104654622245817,9994.037999999999
165.824,168.8516525,337.72,347.96,0.8354550000000245,-0.8354550000000245,,,,,9994.877999999999
165.438,167.87823749999995,335.77,349.91,-1.9468300000000909,1.9468300000000909,,,0.9805099725237866,1.0194783602942463,9992.928
166.049,167.67950000000002,335.37,350.31,-0.3974749999998721,0.3974749999998721,,,0.9793724222819841,1.0206159105360488,9992.528
166.344,167.81864000000002,335.65,350.03,0.2782799999999952,-0.2782799999999952,,,0.9805683084336225,1.0194200243844103,9992.807999999999
165.737,167.92649749999998,335.87,349.81,0.21571499999993193,-0.21571499999993193,,,0.9814433470811629,1.01854498573687,9993.028
166.973,168.00850000000003,336.03,349.65,0.16400500000008833,-0.16400500000008833,,,0.9801307891098523,1.0198575437081805,9993.188
166.565,167.8032725,335.62,350.06,-0.41045500000006996,0.41045500000006996,,,0.9801307891098523,1.0198575437081805,9992.778
168.207,168.6242725,337.26,348.42,1.641999999999996,-1.641999999999996,,,0.9789349029582141,1.0210534298598188,9994.418
168.15,168.55700000000002,337.13,348.55,-0.13454499999994596,0.13454499999994596,,,0.9835434398352594,1.0164448929827734,9994.287999999999
168.982,168.982,337.98,347.7,0.8499999999999659,-0.8499999999999659,,,0.9858185403188642,1.0141697924991688,9995.137999999999
169.367,169.178875,338.37,347.31,0.39375000000001137,-0.39375000000001137,,,0.9858185403188642,1.0141697924991688,9995.528
168.66,168.66,337.33,348.35,-1.0377500000000168,1.0377500000000168,,,0.9869560905606665,1.0130322422573663,9994.488
169.415,169.202875,338.42,347.26,1.0857500000000186,-1.0857500000000186,,,0.9871019303352566,1.0128864024827764,9995.578
168.865,168.865,337.74,347.94,-0.6757499999999936,0.6757499999999936,,,0.9871019303352566,1.0128864024827764,9994.898
168.716,168.716,337.44,348.24,-0.2980000000000018,0.2980000000000018,,,0.9851185094008319,1.014869823417201,9994.598
167.829,168.1984625,336.4,349.28,-1.0350750000000062,1.0350750000000062,,,0.9812100034418186,1.018778329376214,9993.557999999999
165.694,167.1070825,334.22,351.46,-2.1827600000000302,2.1827600000000302,,,0.9812100034418186,1.018778329376214,9991.377999999999
165.971,167.57145749999998,335.15,350.53,0.9287499999999795,-0.9287499999999795,,,0.9754930842778889,1.024495248540144,9992.307999999999
164.249,166.29552999999999,332.6,353.08,-2.551854999999989,2.551854999999989,,,0.9751430688188728,1.02484526399916,9989.758
164.058,166.20002999999997,332.41,353.27,-0.19100000000003092,0.19100000000003092,,,0.9695719894295333,1.0304163433884996,9989.568
163.835,166.02100000000002,332.05,353.63,-0.35805999999990945,0.35805999999990945,,,0.969163638060681,1.0308246947573518,9989.207999999999
164.329,166.23950000000002,332.49,353.19,0.4370000000000118,-0.4370000000000118,,,0.9698053330688773,1.0301829997491556,9989.648
164.43,166.6364125,333.28,352.4,0.7938249999999698,-0.7938249999999698,,,0.9718179219582199,1.028170410859813,9990.438
163.907,166.2994775,332.61,353.07,-0.6738700000000222,0.6738700000000222,,,0.9716720821836298,1.028316250634403,9989.768
163.559,165.6495,331.31,354.37,-1.2999550000000113,1.2999550000000113,,,0.9690177982860911,1.0309705345319418,9988.467999999999
162.611,165.3670275,330.75,354.93,-0.5649449999999661,0.5649449999999661,,,0.9676469044049446,1.0323414284130883,9987.908
162.852,165.37863,330.77,354.91,0.02320499999996173,-0.02320499999996173,,,0.9630675354828172,1.0369207973352157,9987.928
162.21,164.5999275,329.21,356.47,-1.5574049999999602,1.5574049999999602,,,0.962104992970523,1.03788333984751,9986.367999999999
161.69,164.3399275,328.69,356.99,-0.5200000000000387,0.5200000000000387,,,0.9602382438557703,1.0397500889622626,9985.848
161.852,164.41250000000002,328.84,356.84,0.14514500000007047,-0.14514500000007047,,,0.9610841145483926,1.0389042182696404,9985.998
160.523,164.11345749999998,328.24,357.44,-0.5980850000000828,0.5980850000000828,,,0.9615216338721627,1.0384666989458702,9985.398
162.154,164.71911,329.45,356.23,1.2113050000000385,-1.2113050000000385,,,0.9574089522287235,1.0425793805893093,9986.608
162.66,164.8644225,329.74,355.94,0.29062499999997726,-0.29062499999997726,,,0.9585756704254438,1.041412662392589,9986.898
162.837,164.69409249999998,329.4,356.28,-0.34066000000001395,0.34066000000001395,,,0.9614632979623267,1.0385250348557062,9986.557999999999
161.228,163.461,326.93,358.75,-2.466184999999939,2.466184999999939,,,0.9584298306508537,1.041558502167179,9984.088
161.025,163.23149999999998,326.47,359.21,-0.45900000000006,0.45900000000006,,,0.9546088285565946,1.0453795042614382,9983.627999999999
161.838,163.5283775,327.06,358.62,0.5937550000000442,-0.5937550000000442,,,0.9539671335483985,1.0460211992696344,9984.217999999999
162.531,164.10459249999997,328.21,357.47,1.1524299999999243,-1.1524299999999243,,,0.955775546753315,1.044212786064718,9985.367999999999
162.668,163.45850000000002,326.92,358.76,-1.292184999999904,1.292184999999904,,,0.9561547301672491,1.0438336026507837,9984.078
162.067,163.0625,326.13,359.55,-0.79200000000003,0.79200000000003,,,0.9512545137410235,1.0487338190770092,9983.287999999999
162.343,162.975425,325.96,359.72,-0.17414999999999736,0.17414999999999736,,,0.9531212628557761,1.0468670699622569,9983.117999999999
160.589,162.44965000000002,324.91,360.77,-1.0515499999999633,1.0515499999999633,,,0.9455084266221759,1.054479906195857,9982.068
161.436,162.4716775,324.95,360.73,0.044054999999957545,-0.044054999999957545,,,0.9478126950606985,1.0521756377573344,9982.108
161.388,162.71632499999998,325.44,360.24,0.48929499999997006,-0.48929499999997006,,,0.9475793514213545,1.0524089813966784,9982.598
161.381,161.70937,323.37,362.31,-0.7303749999999809,0.7303749999999809,,,0.9432041581836532,1.0567841746343798,9980.528
160.854,161.7976025,323.6,362.08,-0.6377949999999828,0.6377949999999828,,,0.9438750211467675,1.0561133116712655,9980.758
161.764,162.6570125,325.32,360.36,1.7188199999999938,-1.7188199999999938,,,0.9438750211467675,1.0561133116712655,9982.478
160.239,161.45350000000002,322.91,362.77,-2.407024999999976,2.407024999999976,,,0.9463251293598801,1.0536632034581528,9980.068
160.091,161.75122749999997,323.51,362.17,0.5954549999999017,-0.5954549999999017,,,0.9413957449787366,1.0585925878392963,9980.668
161.075,162.0451875,324.1,361.58,0.5879200000000537,-0.5879200000000537,,,0.9433791659131612,1.0566091669048716,9981.258
161.293,161.68,323.37,362.31,-0.7303749999999809,0.7303749999999809,,,0.9434666697779152,1.0565216630401177,9980.528
161.584,161.71535,323.44,362.24,0.070699999999988,-0.070699999999988,,,0.9434083338680792,1.0565799989499538,9980.598
161.88,161.88,323.77,361.91,0.32929999999998927,-0.32929999999998927,,,0.9443708763803734,1.0556174564376595,9980.928
161.727,161.88,323.77,361.91,0.0,-0.0,,,,,9980.928
